"Lon","Lat","Continet"
-88.805515063,20.1692997484,"Americas"
17.7025688898,6.95154198051,"Africa"
21.3457959642,-80.4662055733,"Antartica"
81.5518216642,34.4717342822,"Asia"
13.7496636043,49.7518438321,"Europe"
134.349509588,-25.5770531919,"Oceania"
