"Region_origin","Region_recipient","Average"
"NW Europe","SW Europe",12.769756097561
"NW Europe","IOI",1.22439024390244
"NW Europe","Central America",31.2020905923345
"NW Europe","Southeast Asia",8.41505226480836
"NW Europe","NE Europe",15.969756097561
"Central Asia","Southeast Asia",0.4
"South Asia","Australia New Zealand",33.7063414634147
"South Asia","NW Europe",278.879163763066
"South Asia","South Asia",5085.39512195122
"South Asia","Central America",14.5793728222997
"South Asia","West Africa",63.6347038327526
"South Asia","Trop. S. America",23.7135888501743
"South Asia","East Africa",132.67456445993
"South Asia","Southeast Asia",252.320418118467
"South Asia","Central Africa",2.58174216027875
"South Asia","North America",207.074146341463
"South Asia","East Asia",511.877630662021
"South Asia","Andes",14.0858536585366
"South Asia","Caribbean",6.80445993031359
"South Asia","SE Mediterranean",42.2243902439024
"South Asia","NE Europe",48.9843902439024
"South Asia","West Asia",67.7661324041812
"South Asia","SW Europe",29.9151219512195
"South Asia","SE Europe",1858.55707317073
"South Asia","IOI",1.9619512195122
"South Asia","Southern Africa",52.1082926829268
"South Asia","Trop. Pacific Region",1.24
"South Asia","Central Asia",8.72
"Caribbean","SE Europe",36.9639024390244
"NE Europe","Temp. S. America",2.08975609756097
"NE Europe","Australia New Zealand",90.2507317073171
"NE Europe","NW Europe",30.1121951219512
"NE Europe","South Asia",96.88
"NE Europe","SE Europe",41.6136585365854
"NE Europe","East Africa",19.5541463414634
"NE Europe","SE Mediterranean",24.3853658536585
"NE Europe","West Asia",56.8614634146341
"NE Europe","NE Europe",35.9687804878049
"NE Europe","North America",84.3863414634146
"NW Europe","SE Europe",12.0419512195122
"NW Europe","Caribbean",6.49268292682927
"NW Europe","West Africa",2.65756097560976
"Central America","Central Africa",9.50578397212544
"Central America","Caribbean",61.4334339914828
"Central America","Temp. S. America",13.4345644599303
"Central America","Australia New Zealand",15.6737166085946
"Central America","NW Europe",107.047135114208
"Central America","South Asia",128.955346496322
"Central America","West Africa",17.47027100271
"Central America","Andes",216.188052651955
"Central America","Southern Africa",56.8616337591947
"Central America","Trop. S. America",109.059721254355
"Central America","East Africa",91.4757065427798
"Central America","North America",228.098029423151
"Central America","East Asia",82.0685559427023
"Central America","Central America",360.54543554007
"Central America","SE Mediterranean",5.97072009291522
"Central America","Southeast Asia",20.5054703832753
"Central America","SW Europe",46.6072473867595
"Central America","IOI",4.56724738675958
"Central America","West Asia",30.2868292682927
"West Africa","South Asia",965.808253968254
"West Africa","NW Europe",54.0983042973287
"West Africa","North America",127.146744096012
"West Africa","West Africa",915.025923344948
"West Africa","East Asia",140.287030584592
"West Africa","Central Africa",62.078606271777
"West Africa","East Africa",120.325284552846
"West Africa","Southeast Asia",51.1827487417731
"West Africa","SW Europe",4.66104529616725
"West Africa","SE Europe",639.388571428571
"West Africa","Southern Africa",60.8761827332559
"West Africa","West Asia",12.0971428571429
"West Africa","NE Europe",4.61714285714286
"Andes","SE Mediterranean",61.524425087108
"Andes","Central Africa",46.2845993031359
"Andes","Temp. S. America",121.601606658924
"Andes","Australia New Zealand",76.3599303135889
"Andes","NW Europe",271.305458768873
"Andes","South Asia",360.551536972513
"Andes","West Africa",74.9647812620983
"Andes","Andes",926.568850174215
"Andes","Southern Africa",110.441114982579
"Andes","Trop. S. America",288.791347270615
"Andes","SE Europe",84.4118466898955
"Andes","East Africa",283.716701509872
"Andes","North America",258.41560588463
"Andes","East Asia",282.873774680604
"Andes","Central America",419.463693379791
"Andes","Caribbean",110.750282617112
"Andes","NE Europe",40.1491289198606
"Andes","Trop. Pacific Region",14.7255555555555
"Andes","Southeast Asia",184.41299651568
"Andes","West Asia",130.223921796361
"Andes","SW Europe",68.176198219125
"Andes","IOI",50.1295470383276
"SE Europe","Temp. S. America",3.02341463414634
"SE Europe","SE Europe",445.634146341463
"SE Europe","Andes",20.5453658536585
"Southern Africa","NW Europe",28.6278745644599
"Southern Africa","Trop. S. America",35.5042508710801
"Southern Africa","North America",80.2140766550522
"Southern Africa","East Asia",33.6445993031359
"Southern Africa","SE Mediterranean",4.42592334494774
"Southern Africa","South Asia",792.783275261323
"Southern Africa","SW Europe",3.57324041811847
"Southern Africa","West Asia",7.58383275261324
"Southern Africa","SE Europe",701.088083623693
"Southern Africa","West Africa",8.38285714285714
"Southern Africa","Southeast Asia",49.8331707317073
"Southern Africa","NE Europe",3.67163763066202
"Southern Africa","East Africa",95.1239024390243
"Southern Africa","Southern Africa",198.959581881533
"Trop. S. America","West Asia",8.31474641889276
"Trop. S. America","SE Mediterranean",2.40481223383663
"Trop. S. America","Central Africa",12.1206968641115
"Trop. S. America","Caribbean",51.8302593883082
"Trop. S. America","Temp. S. America",11.9662214479288
"Trop. S. America","Australia New Zealand",38.9402710027101
"Trop. S. America","NW Europe",70.0036314363143
"Trop. S. America","South Asia",120.198571428571
"Trop. S. America","NE Europe",4.61240418118467
"Trop. S. America","Central America",78.867483546264
"Trop. S. America","West Africa",50.7530352303523
"Trop. S. America","Andes",204.519717382889
"Trop. S. America","Southern Africa",49.1767169957414
"Trop. S. America","Trop. S. America",164.566600851723
"Trop. S. America","SE Europe",51.8583972125436
"Trop. S. America","East Africa",92.2658536585366
"Trop. S. America","North America",64.7557684862563
"Trop. S. America","East Asia",75.4193728222996
"Trop. S. America","Trop. Pacific Region",1.06063492063492
"Trop. S. America","Southeast Asia",54.87656213705
"Trop. S. America","SW Europe",6.89969415408439
"Trop. S. America","IOI",1.9188850174216
"Trop. S. America","Central Asia",1.72
"IOI","South Asia",21.7173519163763
"IOI","NW Europe",2.54857142857143
"Southeast Asia","South Asia",350.782009291522
"Southeast Asia","Trop. S. America",25.7687224157956
"Southeast Asia","East Asia",728.737297715834
"Southeast Asia","NW Europe",118.757657762292
"Southeast Asia","Southeast Asia",698.006349206349
"Southeast Asia","West Asia",21.84
"Southeast Asia","North America",193.64945799458
"SE Europe","Central America",48.9492682926829
"SE Europe","Southeast Asia",68.1843902439024
"SE Europe","Southern Africa",72.7541463414634
"SE Europe","Caribbean",35.9434146341463
"West Africa","Temp. S. America",2.62871080139373
"West Africa","Trop. S. America",24.4840572977158
"West Africa","Caribbean",5.97433217189314
"West Africa","SE Mediterranean",16.2175609756098
"West Africa","IOI",7.41756097560976
"West Africa","Australia New Zealand",3.28825396825396
"West Africa","Andes",16.4530391018196
"West Africa","Central Asia",0.84
"East Africa","Central Africa",5.81602787456446
"East Africa","Temp. S. America",10.2880836236934
"East Africa","Australia New Zealand",44.5678048780487
"East Africa","South Asia",1086.84362369338
