"","N
Amer","C
Amer","Car","Andes","Tr. S
Amer","Tp. S
Amer","W
Afr","C
Afr","E
Afr","S
Afr","IOI","NW
Eur","SW
Eur","NE
Eur","SE
Eur","SE
Med","W
Asia","C
Asia","S
Asia","E
Asia","SE
Asia","Pac","ANZ"
"N
Amer",97.8156097560976,36.1829965156794,18.352516453736,52.0282384823848,33.6250871080139,12.0480836236934,6.97198606271777,5.21951219512196,35.5454703832753,79.0480836236934,3.61756097560976,45.7179829655439,25.7154006968642,15.6956097560976,423.357073170732,22.7414634146341,43.1017421602788,0.36,542.208083623693,79.1829965156794,71.3825551684088,2.6,10.2602516453736
"C
Amer",228.098029423151,360.54543554007,61.4334339914828,216.188052651955,109.059721254355,13.4345644599303,17.47027100271,9.50578397212544,91.4757065427798,56.8616337591947,4.56724738675958,107.047135114208,46.6072473867595,9.1184668989547,42.0643902439024,5.97072009291522,30.2868292682927,0.08,128.955346496322,82.0685559427023,20.5054703832753,0.391111111111111,15.6737166085946
"Car",15.2849361207898,11.9252884243128,9.1440960123887,12.4462795199381,8.18184668989547,2.11965543941154,5.02206349206349,1.20390243902439,10.8945760743322,8.02977158343012,0.946341463414634,7.03306620209059,1.19024390243902,0.377560975609756,36.9639024390244,0.304390243902439,1.33853658536585,0.04,39.9951219512195,11.3666008517228,7.36417344173442,0.283333333333333,1.74023615950445
"Andes",258.41560588463,419.463693379791,110.750282617112,926.568850174215,288.791347270615,121.601606658924,74.9647812620983,46.2845993031359,283.716701509872,110.441114982579,50.1295470383276,271.305458768873,68.176198219125,40.1491289198606,84.4118466898955,61.524425087108,130.223921796361,10.12,360.551536972513,282.873774680604,184.41299651568,14.7255555555555,76.3599303135889
"Tr. S
Amer",64.7557684862563,78.867483546264,51.8302593883082,204.519717382889,164.566600851723,11.9662214479288,50.7530352303523,12.1206968641115,92.2658536585366,49.1767169957414,1.9188850174216,70.0036314363143,6.89969415408439,4.61240418118467,51.8583972125436,2.40481223383663,8.31474641889276,1.72,120.198571428571,75.4193728222996,54.87656213705,1.06063492063492,38.9402710027101
"Tp. S
Amer",21.1035849787069,8.99283778552071,3.48547425474255,10.692597754549,6.32557491289199,10.9652884243128,4.8415331010453,1.38439024390244,6.98129694154085,21.1225087108014,0.88,10.2653735965931,7.77170731707317,2.78076655052264,33.9219512195122,0.828571428571429,4.07512195121952,1.72,58.3009059233449,12.1981958962447,13.2326945412311,0.4,1.69364692218351
"W
Afr",127.146744096012,8.48947735191638,5.97433217189314,16.4530391018196,24.4840572977158,2.62871080139373,915.025923344948,62.078606271777,120.325284552846,60.8761827332559,7.41756097560976,54.0983042973287,4.66104529616725,4.61714285714286,639.388571428571,16.2175609756098,12.0971428571429,0.84,965.808253968254,140.287030584592,51.1827487417731,0.497142857142857,3.28825396825396
"C
Afr",24.9120557491289,6.17393728222996,1.82689895470383,3.87331010452962,9.59066202090592,0.618397212543554,2.76,0.768780487804878,9.57170731707317,6.11540069686411,0.339512195121951,10.5117770034843,1.23707317073171,1.05031358885017,303.923902439024,1.12,2.89073170731707,0.12,348.555121951219,16.7453658536585,12.6747038327526,0.12,0.604599303135888
"E
Afr",204.207665505227,23.3952613240418,7.58606271777003,53.0253658536585,46.2374912891986,10.2880836236934,18.44,5.81602787456446,326.24,62.1038327526132,5.52,238.832613240418,175.846550522648,19.9287804878049,1078.0656445993,139.938675958188,69.1106620209059,2.36,1086.84362369338,59.6797212543554,37.2103135888502,0.268571428571429,44.5678048780487
"S
Afr",80.2140766550522,18.2256445993031,4.51219512195122,35.3704529616725,35.5042508710801,2.22341463414634,8.38285714285714,2.77867595818815,95.1239024390243,198.959581881533,0.504390243902439,28.6278745644599,3.57324041811847,3.67163763066202,701.088083623693,4.42592334494774,7.58383275261324,0.16,792.783275261323,33.6445993031359,49.8331707317073,0.108571428571429,4.90439024390244
